Date,Open,High,Low,Close,Volume,Daily_Return,MA_7,MA_30,Volatility_7,Year,Month
2015-01-02,39.6826,40.329,39.5806,39.7677,27913900,,,,,2015,1
2015-01-05,39.436,39.7422,39.334,39.402,39673900,-0.009195905219562484,,,,2015,1
2015-01-06,39.4445,39.7592,38.7301,38.8237,36447900,-0.014676919953301781,,,,2015,1
2015-01-07,39.1043,39.5126,38.6876,39.317,29114100,0.012706156291131476,,,,2015,1
2015-01-08,39.7592,40.6096,39.7337,40.4736,29645200,0.029417300404405156,,,,2015,1
2015-01-09,40.4906,40.6692,39.8868,40.1334,23944200,-0.00840547912713463,,,,2015,1
2015-01-12,40.329,40.431,39.4275,39.6316,23651900,-0.012503301489532492,39.64985714285714,,,2015,1
2015-01-13,39.9463,40.7457,39.1724,39.4275,35270600,-0.00514993086325044,39.60125714285714,,0.016184342194601554,2015,1
2015-01-14,39.0873,39.3254,38.7982,39.0873,29719600,-0.008628495339547348,39.5563,,0.01613848238719495,2015,1
2015-01-15,39.3084,39.4445,38.6196,38.6791,32750800,-0.010443289764194508,39.53564285714286,,0.015612771820621513,2015,1
2015-01-16,38.5345,39.3595,38.4155,39.3255,35695300,0.016711867649454204,39.53685714285714,,0.016235461465135787,2015,1
2015-01-20,39.3765,39.6741,38.7556,39.453,36161900,0.003242171110348302,39.39105714285714,,0.010297793183074134,2015,1
2015-01-21,39.0703,39.2404,38.6791,39.0533,39081100,-0.010131041999341006,39.236757142857144,,0.010451597856892614,2015,1
2015-01-22,39.4445,40.0908,39.1894,40.0823,35898000,0.02634860562359642,39.30114285714286,,0.014584925297612081,2015,1
2015-01-23,40.278,40.3035,39.8017,40.1249,26211600,0.0010628132617140906,39.400771428571424,,0.014284036257185218,2015,1
2015-01-26,39.9718,40.0824,39.3254,39.9803,42525500,-0.003603747299058657,39.52834285714285,,0.013742005569932068,2015,1
2015-01-27,36.5274,36.74,35.813,36.2808,169164000,-0.09253307253822507,39.18572857142857,,0.039088637342210894,2015,1
2015-01-28,36.3488,36.3913,35.0051,35.0306,84507100,-0.03445899759652482,38.57217142857143,,0.03838496309302763,2015,1
2015-01-29,34.8095,35.8215,34.6904,35.728,63585300,0.01990830873579097,38.04002857142857,,0.04023001201519966,2015,1
2015-01-30,35.3368,35.3623,34.3162,34.3588,78004900,-0.03832288401253914,37.36938571428571,,0.041252902417525154,2015,1
2015-02-02,34.5203,35.1837,34.2142,35.1071,50352500,0.02177899111726833,36.65864285714286,,0.04047456815698097,2015,2
2015-02-03,35.4048,35.6599,34.9115,35.3793,52082400,0.0077534173998992095,35.9807,,0.041074970183698746,2015,2
2015-02-04,35.6685,35.8981,35.1752,35.5834,41614800,0.005768910068882027,35.35257142857143,,0.0417345045062184,2015,2
2015-02-05,35.9066,36.2638,35.6004,36.1022,36548200,0.014579832168932771,35.32705714285715,,0.025269940142633254,2015,2
2015-02-06,36.2978,36.3913,35.8471,36.0682,34616600,-0.0009417708616097364,35.47528571428571,,0.020465637026812186,2015,2
2015-02-09,35.9236,36.3488,35.8981,36.0257,31381100,-0.001178323287549632,35.51781428571429,,0.019315300481305368,2015,2
2015-02-10,36.3488,36.3743,35.8726,36.2298,29670700,0.005665399978348695,35.7851,,0.008235031206151438,2015,2
2015-02-11,36.2723,36.2723,35.8981,36.0427,38262500,-0.005164257048065224,35.91875714285714,,0.006668516378468528,2015,2
2015-02-12,36.2808,36.6465,36.1532,36.6465,33268800,0.01675235207129311,36.099785714285716,,0.008242978583041703,2015,2
2015-02-13,36.8931,37.3098,36.6975,37.3098,40264900,0.01809995497523631,36.34641428571429,37.82183666666666,0.009620091930555531,2015,2
2015-02-17,37.661,37.6867,36.9929,37.327,33695700,0.0004610048834352565,36.521385714285714,37.74048,0.009195259164457072,2015,2
2015-02-18,37.3698,37.4298,37.1642,37.2841,27111700,-0.0011493021137513049,36.69508571428572,37.66988333333334,0.009217216246076009,2015,2
2015-02-19,36.9844,37.2842,36.873,37.2585,27603400,-0.0006866197655301942,36.8712,37.617709999999995,0.00916593747826829,2015,2
2015-02-20,37.267,37.5839,37.0786,37.5668,29721100,0.008274621898358925,37.062200000000004,37.559369999999994,0.009257031282965336,2015,2
2015-02-23,37.4297,37.8494,37.3869,37.8152,32518800,0.006612221429560083,37.31541428571428,37.47075666666667,0.008044546468791478,2015,2
2015-02-24,37.8152,37.9437,37.6182,37.7638,25271700,-0.001359241786371479,37.475028571428574,37.391769999999994,0.007221560166196493,2015,2
2015-02-25,37.6439,37.7638,37.5154,37.6782,29759800,-0.0022667210397260273,37.527657142857144,37.326656666666665,0.004227282743522339,2015,2
2015-02-26,37.6781,37.8837,37.5925,37.7381,28957300,0.0015897787049277134,37.58638571428571,37.27034333333334,0.004206425205449259,2015,2
2015-02-27,37.7981,37.858,37.3955,37.5582,33807700,-0.004767065644534441,37.62554285714286,37.21937333333334,0.0047798831924318755,2015,2
2015-03-02,37.404,37.8494,37.3013,37.5839,31924000,0.0006842713442072323,37.67202857142858,37.18286666666667,0.004724311817660581,2015,3
2015-03-03,37.3098,37.5411,36.9073,37.07,31748600,-0.01367340802843775,37.601057142857144,37.10768333333333,0.006305724670851997,2015,3
2015-03-04,36.8388,37.0101,36.7274,36.8816,25748700,-0.005082276773671457,37.467685714285714,37.021969999999996,0.005117047154700489,2015,3
2015-03-05,36.8902,37.0358,36.676,36.9244,23193500,0.0011604702615939377,37.34777142857143,36.95100666666667,0.005379047326445973,2015,3
2015-03-06,36.8302,36.9244,36.1022,36.282,36248800,-0.0173977099153948,37.14831428571428,36.82433,0.0075475925657489526,2015,3
2015-03-09,36.1364,36.9415,36.1364,36.7017,32108000,0.011567719530345855,37.000257142857144,36.71022333333334,0.009710177895914048,2015,3
2015-03-10,36.2735,36.5818,35.9994,35.9994,39159700,-0.019135353403248345,36.77757142857143,36.57752666666667,0.011304446823308575,2015,3
2015-03-11,36.2392,36.2906,35.8366,35.9565,32215300,-0.0011916865281088596,36.54508571428571,36.56671666666667,0.011141118033321545,2015,3
2015-03-12,35.3998,35.6739,34.9973,35.1343,59992500,-0.02286651926633554,36.26855714285714,36.57017333333333,0.012607336276089167,2015,3
2015-03-13,34.8602,35.5197,34.7831,35.4426,58007700,0.008774900880336167,36.062985714285716,36.56066,0.014065490910353284,2015,3
2015-03-16,35.5198,35.6654,35.357,35.5968,35273500,0.004350696619322525,35.87332857142857,36.60192666666667,0.014368859574694758,2015,3
2015-03-17,35.4341,35.8281,35.2456,35.7167,31673400,0.003368280294858028,35.79257142857143,36.62224666666667,0.013532883211429975,2015,3
2015-03-18,35.4855,36.6846,35.3998,36.4019,44194800,0.019184303141107417,35.749742857142856,36.656333333333336,0.015042723125623821,2015,3
2015-03-19,36.1964,36.479,36.1621,36.2221,33879100,-0.004939302618819363,35.781557142857146,36.67762333333334,0.01302324117359669,2015,3
2015-03-20,36.4533,36.8131,36.3934,36.7274,71904500,0.013950047070711236,35.891685714285714,36.69846333333333,0.01383930040539111,2015,3
2015-03-23,36.7274,36.9415,36.6418,36.7103,26246100,-0.0004655924459668892,36.11682857142857,36.71986666666667,0.008318066457849759,2015,3
2015-03-24,36.6418,36.9758,36.6161,36.7445,25513300,0.0009316186465380127,36.30281428571429,36.74382666666666,0.0084589596412876,2015,3
2015-03-25,36.7617,36.7702,35.494,35.5112,43469900,-0.033564206888105685,36.29058571428572,36.71987333333334,0.01695920329019605,2015,3
2015-03-26,35.3056,35.6396,35.0486,35.297,37495600,-0.006031899794994411,36.23062857142857,36.69501666666667,0.016999903747466103,2015,3
2015-03-27,35.22,35.4855,34.9716,35.0915,34401400,-0.005822024534662851,36.04342857142857,36.64318333333333,0.014331671118031103,2015,3
2015-03-30,35.2028,35.5797,35.0401,35.0829,35049700,-0.00024507359332037737,35.88068571428572,36.56895333333333,0.014451649354087938,2015,3
2015-03-31,34.9287,35.1429,34.7232,34.826,34887200,-0.0073226557667696035,35.60905714285714,36.48558666666667,0.011955153945475487,2015,3
2015-04-01,34.7745,34.9116,34.5262,34.8773,36865300,0.0014730373858611312,35.3472,36.405359999999995,0.012165941761414722,2015,4
2015-04-02,34.826,34.8945,34.3634,34.509,37487500,-0.010559877054703182,35.02784285714286,36.31371,0.01164593287240303,2015,4
2015-04-06,34.5519,35.7853,34.4148,35.5883,39223700,0.031275899040829724,35.03885714285714,36.24776,0.014228666840870072,2015,4
2015-04-07,35.6397,35.8966,35.3827,35.5711,28809400,-0.0004833049063875938,35.07801428571429,36.172956666666664,0.013963011828075945,2015,4
2015-04-08,35.5112,35.7082,35.1514,35.4769,24753400,-0.0026482172325287268,35.13307142857143,36.09672666666667,0.013747310685398795,2015,4
2015-04-09,35.3313,35.6482,35.3313,35.5283,25723900,0.0014488300838011448,35.1967,36.025063333333335,0.013723457423017536,2015,4
2015-04-10,35.6568,35.9309,35.4683,35.7339,28022000,0.005786936048164382,35.3264,35.958256666666664,0.013139853727131053,2015,4
2015-04-13,35.4598,36.0251,35.4512,35.7681,30276700,0.0009570743747533417,35.453657142857146,35.89858666666667,0.0131562327637358,2015,4
2015-04-14,35.8024,35.9994,35.4512,35.6739,24244400,-0.0026336316438388963,35.62007142857143,35.83492,0.012017988511575753,2015,4
2015-04-15,35.7681,36.3677,35.6996,36.1964,27343600,0.014646562332685686,35.706942857142856,35.8058,0.006104111054837611,2015,4
2015-04-16,35.9309,36.2649,35.8195,36.1107,22509700,-0.0023676387707063373,35.78402857142857,35.78010333333334,0.006293096330109535,2015,4
2015-04-17,35.691,35.751,35.2542,35.6482,42387600,-0.01280783812000319,35.808499999999995,35.737563333333334,0.008406278665351926,2015,4
2015-04-20,35.7424,36.9758,35.6996,36.7531,46057700,0.030994552319612234,35.98347142857143,35.75326666666667,0.014232505532795496,2015,4
2015-04-21,36.8302,36.9587,36.4276,36.5219,26013800,-0.006290625824760365,36.096042857142855,35.74727333333333,0.014832076601871958,2015,4
2015-04-22,36.5475,36.9415,36.4448,36.8216,25064300,0.008206035282939617,36.24654285714286,35.774680000000004,0.014901129503793966,2015,4
2015-04-23,36.736,37.3527,36.6589,37.1214,46309500,0.008141960153822847,36.45332857142857,35.81351,0.014625578412620003,2015,4
2015-04-24,39.1085,41.2327,39.1,41.0014,130933700,0.1045219199706906,37.13975714285714,36.009080000000004,0.04041294792991634,2015,4
2015-04-27,40.4532,41.2241,40.4447,41.1385,59248200,0.003343788260888658,37.85801428571428,36.19894333333333,0.03997366743065273,2015,4
2015-04-28,40.9243,42.1492,40.8558,42.1063,60730800,0.023525408072729848,38.7806,36.415926666666664,0.03736138014228829,2015,4
2015-04-29,41.7295,42.2348,41.541,42.0207,47804600,-0.0020329499386076977,39.53311428571429,36.62606,0.038492689023074754,2015,4
2015-04-30,41.7123,42.4318,41.6267,41.6609,64725500,-0.008562446603697649,40.26725714285714,36.80136,0.03875913294185615,2015,4
2015-05-01,41.6096,41.8665,41.4554,41.6781,38937300,0.0004128571394281799,40.96104285714286,36.98322666666666,0.039249511207964854,2015,5
2015-05-04,41.4297,41.858,41.267,41.3183,34039500,-0.008632831151132114,41.5606,37.13625666666667,0.04047865874451446,2015,5
2015-05-05,40.9586,41.2498,40.5218,40.7702,50369200,-0.013265308592076641,41.52757142857143,37.271586666666664,0.012171406538844269,2015,5
2015-05-06,40.7445,40.9158,39.4169,39.6396,52433000,-0.02773103884700101,41.31344285714285,37.36809,0.015612328914988092,2015,5
2015-05-07,39.631,40.3333,39.5368,39.9993,32971700,0.009074259074258961,41.01244285714286,37.517693333333334,0.011631208238526992,2015,5
2015-05-08,40.7273,41.0956,40.7016,40.8986,35364900,0.022482893450635588,40.85214285714286,37.70441333333334,0.01624083633011883,2015,5
2015-05-11,40.7273,41.0357,40.5732,40.5732,24609400,-0.007956262561554683,40.696757142857145,37.88713666666667,0.016212465268102327,2015,5
2015-05-12,40.1278,40.8387,39.7595,40.556,29928300,-0.0004239251525638421,40.536457142857145,38.06957333333333,0.016180488551392008,2015,5
2015-05-13,41.2755,41.3869,40.7445,40.7959,34184600,0.005915277640793137,40.46182857142857,38.26857,0.01638612207490707,2015,5
2015-05-14,41.1385,41.8151,41.1385,41.7295,32980900,0.022884652624405755,40.59887142857143,38.49697666666667,0.017771853365988476,2015,5
2015-05-15,41.8579,41.8922,41.1556,41.3697,28642700,-0.008622197725829395,40.84602857142857,38.72566666666667,0.0130117004444823,2015,5
2015-05-18,41.0956,41.3012,40.7787,41.1213,24136500,-0.0060043945206275096,41.00631428571428,38.91009999999999,0.013685978049982136,2015,5
